no,pattern,sup_pattern,comm,sup_comm,attr,sup_attr,growth_rate
108,C3 S1,12,C3,39,S1,45,1.2680652681
110,C3 S2,23,C3,39,S2,82,1.3594089526
112,C3 S2 A4,9,C3,39,S2 A4,25,1.9615384615
113,C3 S2 A4 T1,6,C3,39,S2 A4 T1,19,1.6094674556
114,C3 S2 A5,5,C3,39,S2 A5,13,2.1794871795
115,C3 S2 T1,16,C3,39,S2 T1,50,1.641025641
119,C3 A4,16,C3,39,A4,42,2.1459566075
120,C3 A4 T1,11,C3,39,A4 T1,31,1.917948718
122,C3 A5,7,C3,39,A5,16,2.7122507123
123,C3 T1,21,C3,39,T1,70,1.4945054945
154,S1 A3 UI,5,UI,51,S1 A3,17,1.1111111111
157,S1 A4 T1 UI,6,UI,51,S1 A4 T1,12,2.6666666667
158,S1 A4 UI,7,UI,51,S1 A4,17,1.8666666667
160,S1 T1 UI,8,UI,51,S1 T1,20,1.7777777778
163,S1 T4 UI,7,UI,51,S1 T4,12,3.7333333333
164,S1 UI,18,UI,51,S1,45,1.7777777778
168,S2 A3 T1 UI,8,UI,51,S2 A3 T1,13,4.2666666667
171,S2 A3 UI,14,UI,51,S2 A3,31,2.1960784314
181,S2 T1 UI,18,UI,51,S2 T1,50,1.5
184,S2 T4 UI,8,UI,51,S2 T4,22,1.5238095238
187,S2 UI,31,UI,51,S2,82,1.6209150327
190,A2 T4 UI,6,UI,51,A2 T4,7,16
191,A2 UI,7,UI,51,A2,9,9.3333333333
194,A3 T1 UI,9,UI,51,A3 T1,19,2.4
196,A3 T4 UI,8,UI,51,A3 T4,22,1.5238095238
197,A3 UI,19,UI,51,A3,48,1.7471264368
200,A4 T1 UI,9,UI,51,A4 T1,31,1.0909090909
202,A4 UI,12,UI,51,A4,42,1.0666666667
204,A5 UI,5,UI,51,A5,16,1.2121212121
210,T1 UI,26,UI,51,T1,70,1.5757575758
212,T2 UI,6,UI,51,T2,11,3.2
215,T4 UI,15,UI,51,T4,34,2.1052631579
22,B2 S1 T4,5,B2,41,S1 T4,12,2.3693379791
23,B2 S2,32,B2,41,S2,82,2.1229268293
24,B2 S2 A3,20,B2,41,S2 A3,31,6.0310421286
25,B2 S2 A3 T1,7,B2,41,S2 A3 T1,13,3.8699186992
26,B2 S2 A3 T4,12,B2,41,S2 A3 T4,16,9.9512195122
29,B2 S2 A4,6,B2,41,S2 A4,25,1.0474967908
30,B2 S2 T1,15,B2,41,S2 T1,50,1.4216027875
32,B2 S2 T4,13,B2,41,S2 T4,22,4.7913279133
35,B2 A3,24,B2,41,A3,48,3.3170731707
36,B2 A3 T1,8,B2,41,A3 T1,19,2.4124168514
37,B2 A3 T4,15,B2,41,A3 T4,22,7.1080139373
42,B2 T1,17,B2,41,T1,70,1.0639668661
43,B2 T2,5,B2,41,T2,11,2.7642276423
44,B2 T4,18,B2,41,T4,34,3.7317073171
